"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="4968","立積","市","04/03","","205","-1.5","-0.73","1,420","290","206.5","205.5","207","202.5","2.18","","8.43","    ","    ","    ","    ","    "
="5203","訊連","市","04/03","","87.9","-0.5","-0.57","73","6.46","88.4","88.1","88.4","87.7","0.79","31.3","1.56","    ","    ","    ","    ","    "
="5222","全訊","市","04/03","","182","+2","+1.11","1,041","189","180","180","183","179.5","1.94","31","6.02","    ","    ","    ","    ","    "
="5225","東科-KY","市","04/03","","121.5","-2","-1.62","1,293","159","123.5","122","125.5","121.5","3.24","15.1","3.04","    ","    ","    ","    ","    "
="5234","達興材料","市","04/03","","152.5","-8.5","-5.28","4,730","724","161","156","157.5","148.5","5.59","29.9","5","    ","    ","    ","    ","    "
="5243","乙盛-KY","市","04/03","","58.1","-1.4","-2.35","1,503","87.7","59.5","59.3","59.3","57.9","2.35","16.4","1.33","    ","    ","    ","    ","    "
="5258","虹堡","市","04/03","","143.5","-2.5","-1.71","1,769","256","146","145","146.5","143.5","2.05","16.6","4.05","    ","    ","    ","    ","    "
="5269","祥碩","市","04/03","","2550","+15","+0.59","698","1,752","2535","2460","2550","2440","4.34","79.2","9.03","    ","    ","    ","    ","    "
="5285","界霖","市","04/03","","63.6","+0.1","+0.16","362","23.3","63.5","63.5","65.5","63","3.94","36.3","2.26","    ","    ","    ","    ","    "
="5388","中磊","市","04/03","","136","-1.5","-1.09","2,606","356","137.5","137","139","136","2.18","14.8","2.85","    ","    ","    ","    ","    "
="5434","崇越","市","04/03","","239","+3","+1.27","1,547","364","236","233.5","239","231","3.39","15.6","2.98","    ","    ","    ","    ","    "
="5469","瀚宇博","市","04/03","","61.3","+0.1","+0.16","4,146","254","61.2","60.8","61.7","60.5","1.96","12.1","1.06","    ","    ","    ","    ","    "
="5471","松翰","市","04/03","","54.6","+0.4","+0.74","445","24.1","54.2","54.2","54.7","53.6","2.03","49.2","2.57","    ","    ","    ","    ","    "
="5521","工信","市","04/03","","13.6","-0.35","-2.51","9,358","129","13.95","13.85","14.15","13.55","4.3","97.1","1.24","    ","    ","    ","    ","    "
="5607","遠雄港","市","04/03","","56.2","+0.1","+0.18","321","18","56.1","56.2","56.3","55.9","0.71","19.3","1.89","    ","    ","    ","    ","    "
="5608","四維航","市","04/03","","18.35","-0.1","-0.54","932","17.1","18.45","18.45","18.5","18.3","1.08","","0.75","    ","    ","    ","    ","    "
="5706","鳳凰","市","04/03","","67.7","-0.9","-1.31","331","22.5","68.6","68.9","68.9","67.5","2.04","27.7","3.48","    ","    ","    ","    ","    "
="5876","上海商銀","市","04/03","","45.95","-0.4","-0.86","4,234","195","46.35","46.35","46.6","45.8","1.73","15.2","1.22","    ","    ","    ","    ","    "
="5880","合庫金","市","04/03","","26","-0.3","-1.14","13,928","363","26.3","26.3","26.3","26","1.14","22.2","1.59","    ","    ","    ","    ","    "
="6112","邁達特","市","04/03","","62.4","-5.3","-7.83","3,663","230","67.7","65","65","62.2","4.14","19.9","2.64","    ","    ","    ","    ","    "
="6116","彩晶","市","04/03","","10.45","-0.15","-1.42","4,652","48.7","10.6","10.6","10.6","10.4","1.89","","0.72","    ","    ","    ","    ","    "
="6120","達運","市","04/03","","18.6","+1.65","+9.73","54,186","979","16.95","16.9","18.6","16.8","10.6","109","1.34","    ","    ","    ","    ","    "
="6139","亞翔","市","04/03","","283.5","+4.5","+1.61","26,397","7,479","279","275","292","274","6.45","22.1","5.85","    ","    ","    ","    ","    "
="6153","嘉聯益","市","04/03","","20.35","-0.3","-1.45","845","17.2","20.65","20.55","20.6","20.3","1.45","","0.92","    ","    ","    ","    ","    "
="6166","凌華","市","04/03","","67.1","-1.1","-1.61","629","42.4","68.2","67.2","68.1","67.1","1.47","44.4","2.71","    ","    ","    ","    ","    "
="6176","瑞儀","市","04/03","","174","0","0","4,749","823","174","172","175","170","2.87","15.3","2.36","    ","    ","    ","    ","    "
="6189","豐藝","市","04/03","","94","-1.9","-1.98","19,273","1,828","95.9","95.9","98","92.4","5.84","23.5","3.7","    ","    ","    ","    ","    "
="6191","精成科","市","04/03","","72","-0.6","-0.83","2,857","206","72.6","72.3","72.5","71.6","1.24","10.7","1.66","    ","    ","    ","    ","    "
="6196","帆宣","市","04/03","","169","-7.5","-4.25","5,731","973","176.5","173","173","167.5","3.12","15.4","3.05","    ","    ","    ","    ","    "
