"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2412","中華電","市","04/03","","125","-1.5","-1.19","11,573","1,454","126.5","126.5","126.5","125","1.19","26.3","2.54","    ","    ","    ","    ","    "
="2439","美律","市","04/03","","123","-1","-0.81","2,868","355","124","122.5","126","121.5","3.63","20","2.14","    ","    ","    ","    ","    "
="2441","超豐","市","04/03","","62.4","-0.8","-1.27","482","30.1","63.2","63","63.1","62.2","1.42","17.8","1.65","    ","    ","    ","    ","    "
="2449","京元電子","市","04/03","","106.5","-0.5","-0.47","9,404","1,004","107","108","108","105.5","2.34","22.3","3.35","    ","    ","    ","    ","    "
="2454","聯發科","市","04/03","","1160","-5","-0.43","4,205","4,892","1165","1150","1175","1140","3","23.9","5.01","    ","    ","    ","    ","    "
="2455","全新","市","04/03","","173.5","+1","+0.58","890","153","172.5","171.5","173.5","169.5","2.32","71.4","10.5","    ","    ","    ","    ","    "
="2457","飛宏","市","04/03","","53.3","-1","-1.84","1,317","70.5","54.3","54.3","54.3","53.3","1.84","78.4","2.44","    ","    ","    ","    ","    "
="2458","義隆","市","04/03","","156.5","+0.5","+0.32","1,512","236","156","156","156.5","154.5","1.28","20.8","5.05","    ","    ","    ","    ","    "
="2474","可成","市","04/03","","211.5","-1.5","-0.7","2,105","446","213","213","214.5","210","2.11","15.9","0.91","    ","    ","    ","    ","    "
="2481","強茂","市","04/03","","58.2","+0.4","+0.69","1,828","106","57.8","57.8","58.3","57.3","1.73","27.1","1.68","    ","    ","    ","    ","    "
="2485","兆赫","市","04/03","","20.9","-0.15","-0.71","890","18.5","21.05","21","21","20.75","1.19","","1.09","    ","    ","    ","    ","    "
="2489","瑞軒","市","04/03","","14.5","+0.1","+0.69","2,483","35.9","14.4","14.4","14.55","14.3","1.74","25","0.81","    ","    ","    ","    ","    "
="2492","華新科","市","04/03","","119","-1.5","-1.24","5,695","682","120.5","119","122","118","3.32","29.1","1.24","    ","    ","    ","    ","    "
="2498","宏達電","市","04/03","","47.2","-0.3","-0.63","2,833","133","47.5","47.2","47.2","46.6","1.26","","1.72","    ","    ","    ","    ","    "
="2515","中工","市","04/03","","15.85","-0.1","-0.63","115,203","1,834","15.95","15.9","16.35","15.4","5.96","38.7","1.08","    ","    ","    ","    ","    "
="2520","冠德","市","04/03","","41.85","-0.8","-1.88","3,394","143","42.65","42.5","42.5","41.65","1.99","9.47","1.14","    ","    ","    ","    ","    "
="2542","興富發","市","04/03","","40.25","+0.15","+0.37","3,760","151","40.1","40","40.5","40","1.25","30.3","1.58","    ","    ","    ","    ","    "
="2548","華固","市","04/03","","126","-1","-0.79","863","109","127","127","127","124","2.36","9.73","1.68","    ","    ","    ","    ","    "
="2603","長榮","市","04/03","","165","-0.5","-0.3","21,624","3,590","165.5","164","167.5","164","2.11","9.88","0.79","    ","    ","    ","    ","    "
="2605","新興","市","04/03","","23.9","-0.2","-0.83","2,532","60.5","24.1","24.05","24.05","23.7","1.45","31.4","0.88","    ","    ","    ","    ","    "
="2606","裕民","市","04/03","","52.5","-0.4","-0.76","1,930","101","52.9","52.3","52.9","52.1","1.51","16.2","1.32","    ","    ","    ","    ","    "
="2609","陽明","市","04/03","","43.8","-0.65","-1.46","16,555","727","44.45","44.2","44.3","43.8","1.12","32","0.55","    ","    ","    ","    ","    "
="2610","華航","市","04/03","","19.15","-0.2","-1.03","13,568","260","19.35","19.35","19.35","19.15","1.03","16.9","1.55","    ","    ","    ","    ","    "
="2615","萬海","市","04/03","","43.65","-0.4","-0.91","5,438","238","44.05","44.05","44.1","43.65","1.02","","0.59","    ","    ","    ","    ","    "
="2618","長榮航","市","04/03","","31.4","-0.55","-1.72","43,327","1,364","31.95","31.75","31.85","31.4","1.41","7.83","1.59","    ","    ","    ","    ","    "
="2633","台灣高鐵","市","04/03","","29.95","-0.2","-0.66","2,627","78.7","30.15","30.1","30.1","29.9","0.66","21.5","2.36","    ","    ","    ","    ","    "
="2634","漢翔","市","04/03","","53.7","-0.6","-1.1","10,320","556","54.3","54.6","54.7","53.5","2.21","22.8","2.96","    ","    ","    ","    ","    "
="2801","彰銀","市","04/03","","18","-0.2","-1.1","12,827","232","18.2","18.2","18.2","18","1.1","15","1.04","    ","    ","    ","    ","    "
="2834","臺企銀","市","04/03","","15.9","-0.1","-0.62","13,657","217","16","16","16","15.9","0.62","12.3","1.09","    ","    ","    ","    ","    "
="2880","華南金","市","04/03","","22.85","-0.35","-1.51","12,721","291","23.2","23.1","23.1","22.85","1.08","14.5","1.5","    ","    ","    ","    ","    "
="2881","富邦金","市","04/03","","68.6","-0.9","-1.29","16,284","1,120","69.5","69.4","69.5","68.6","1.29","14.3","1.25","    ","    ","    ","    ","    "
="2882","國泰金","市","04/03","","48.05","-0.9","-1.84","20,747","1,001","48.95","48.75","48.75","48.05","1.43","14.8","0.99","    ","    ","    ","    ","    "
="2883","開發金","市","04/03","","13.8","-0.1","-0.72","36,653","507","13.9","13.9","13.9","13.8","0.72","12.2","0.97","    ","    ","    ","    ","    "
="2884","玉山金","市","04/03","","26.9","-0.4","-1.47","29,730","802","27.3","27.3","27.3","26.9","1.47","19.1","1.78","    ","    ","    ","    ","    "
="2885","元大金","市","04/03","","29.95","-0.35","-1.16","16,445","494","30.3","30.4","30.4","29.9","1.65","14.3","1.32","    ","    ","    ","    ","    "
="2886","兆豐金","市","04/03","","39.75","-0.55","-1.36","20,697","826","40.3","40.2","40.25","39.75","1.24","16.8","1.67","    ","    ","    ","    ","    "
="2887","台新金","市","04/03","","17.9","-0.15","-0.83","15,263","274","18.05","18.05","18.05","17.9","0.83","17.7","1.12","    ","    ","    ","    ","    "
="2888","新光金","市","04/03","","8.03","-0.04","-0.5","32,037","258","8.07","8.07","8.08","8.03","0.62","","0.52","    ","    ","    ","    ","    "
="2890","永豐金","市","04/03","","21","-0.35","-1.64","16,427","347","21.35","21.25","21.3","21","1.41","13","1.38","    ","    ","    ","    ","    "
="2891","中信金","市","04/03","","31.45","-0.35","-1.1","44,530","1,407","31.8","31.95","31.95","31.45","1.57","11.2","1.43","    ","    ","    ","    ","    "
="2892","第一金","市","04/03","","27.15","-0.6","-2.16","21,208","579","27.75","27.65","27.65","27.15","1.8","16.5","1.49","    ","    ","    ","    ","    "
="2913","農林","市","04/03","","20.5","-0.2","-0.97","1,123","23","20.7","20.55","20.65","20.45","0.97","","1.27","    ","    ","    ","    ","    "
="2915","潤泰全","市","04/03","","59.6","-0.3","-0.5","972","58","59.9","59.9","59.9","59.5","0.67","8.29","0.66","    ","    ","    ","    ","    "
="3006","晶豪科","市","04/03","","86.1","-0.9","-1.03","3,363","289","87","86.9","87","85.2","2.07","","2.34","    ","    ","    ","    ","    "
